date,confirmed,recovered,deaths,active,cfr_recovered,cfr_confirmed
2020-03-08,3,0,0,3,,0.0
2020-03-09,3,0,0,3,,0.0
2020-03-10,3,0,0,3,,0.0
2020-03-11,3,0,0,3,,0.0
2020-03-12,3,0,0,3,,0.0
2020-03-13,3,0,0,3,,0.0
2020-03-14,3,0,0,3,,0.0
2020-03-15,5,0,0,5,,0.0
2020-03-16,8,2,0,6,0.0,0.0
2020-03-17,10,3,0,7,0.0,0.0
2020-03-18,14,3,1,10,25.0,7.142857142857143
2020-03-19,17,3,1,13,25.0,5.882352941176471
2020-03-20,20,3,1,16,25.0,5.0
2020-03-21,25,3,2,20,40.0,8.0
2020-03-22,27,3,2,22,40.0,7.407407407407407
2020-03-23,33,3,3,27,50.0,9.090909090909092
2020-03-24,39,5,4,30,44.44444444444444,10.256410256410257
2020-03-25,39,7,5,27,41.666666666666664,12.820512820512821
2020-03-26,44,11,5,28,31.25,11.363636363636363
2020-03-27,48,11,5,32,31.25,10.416666666666666
2020-03-28,48,15,5,28,25.0,10.416666666666666
2020-03-29,48,15,5,28,25.0,10.416666666666666
2020-03-30,49,19,5,25,20.833333333333332,10.204081632653061
2020-03-31,51,25,5,21,16.666666666666668,9.803921568627452
2020-04-01,54,25,6,23,19.35483870967742,11.11111111111111
2020-04-02,56,25,6,25,19.35483870967742,10.714285714285714
2020-04-03,61,26,6,29,18.75,9.836065573770492
2020-04-04,70,30,8,32,21.05263157894737,11.428571428571429
2020-04-05,88,33,9,46,21.428571428571427,10.227272727272727
2020-04-06,123,33,12,78,26.666666666666668,9.75609756097561
2020-04-07,164,33,17,114,34.0,10.365853658536585
2020-04-08,218,33,20,165,37.735849056603776,9.174311926605505
2020-04-09,330,33,21,276,38.888888888888886,6.363636363636363
2020-04-10,424,33,27,364,45.0,6.367924528301887
2020-04-11,482,36,30,416,45.45454545454545,6.224066390041494
2020-04-12,621,39,34,548,46.57534246575342,5.475040257648954
2020-04-13,803,42,39,722,48.148148148148145,4.85678704856787
2020-04-14,1012,42,46,924,52.27272727272727,4.545454545454546
2020-04-15,1231,49,50,1132,50.505050505050505,4.061738424045491
2020-04-16,1572,49,60,1463,55.04587155963303,3.816793893129771
2020-04-17,1838,58,75,1705,56.390977443609025,4.080522306855277
2020-04-18,2144,66,84,1994,56.0,3.917910447761194
2020-04-19,2456,75,91,2290,54.81927710843374,3.705211726384365
2020-04-20,2948,85,101,2762,54.30107526881721,3.4260515603799186
2020-04-21,3382,87,110,3185,55.83756345177665,3.2525133057362505
2020-04-22,3772,92,120,3560,56.60377358490566,3.1813361611876987
2020-04-23,4186,108,127,3951,54.04255319148936,3.0339225991399905
2020-04-24,4689,112,131,4446,53.90946502057613,2.793772659415654
2020-04-25,4998,113,140,4745,55.33596837944664,2.8011204481792715
